game_id,home_team,away_team,commence_time,sportsbook,team,odds,snapshot_date,days_until_game,game_id_simple
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betonlineag,Green Bay Packers,125,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betonlineag,Philadelphia Eagles,-145,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,lowvig,Green Bay Packers,125,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,lowvig,Philadelphia Eagles,-145,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,fanduel,Green Bay Packers,128,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,fanduel,Philadelphia Eagles,-152,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betmgm,Green Bay Packers,125,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betmgm,Philadelphia Eagles,-150,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,williamhill_us,Green Bay Packers,122,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,williamhill_us,Philadelphia Eagles,-145,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betrivers,Green Bay Packers,123,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betrivers,Philadelphia Eagles,-148,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,mybookieag,Green Bay Packers,120,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,mybookieag,Philadelphia Eagles,-147,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betus,Green Bay Packers,125,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,betus,Philadelphia Eagles,-145,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,bovada,Green Bay Packers,125,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
eca3b71919531e7ae0b4f3f501157e6c,Philadelphia Eagles,Green Bay Packers,2024-09-07 00:20:00+00:00,bovada,Philadelphia Eagles,-145,2024-08-31 13:55:38+00:00,6,Philadelphia Eagles vs Green Bay Packers
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,fanduel,Arizona Cardinals,240,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,fanduel,Buffalo Bills,-295,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,draftkings,Arizona Cardinals,240,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,draftkings,Buffalo Bills,-298,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,williamhill_us,Arizona Cardinals,240,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,williamhill_us,Buffalo Bills,-305,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betrivers,Arizona Cardinals,230,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betrivers,Buffalo Bills,-295,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betus,Arizona Cardinals,245,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betus,Buffalo Bills,-295,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,mybookieag,Arizona Cardinals,224,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,mybookieag,Buffalo Bills,-290,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betonlineag,Arizona Cardinals,245,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betonlineag,Buffalo Bills,-290,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,lowvig,Arizona Cardinals,245,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,lowvig,Buffalo Bills,-290,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
7a5e353202d40a844491fa5753bc3097,Buffalo Bills,Arizona Cardinals,2024-09-08 17:00:00+00:00,betmgm,Arizona Cardinals,240,2024-09-07 13:55:38+00:00,1,Buffalo Bills vs Arizona Cardinals
