,total_bet,total_return,profit,roi,num_bets
ELO,12600.0,13205.002213028207,605.0022130282068,4.801604865303228,126.0
Rank Centrality,10300.0,9721.957923696931,-578.0420763030688,-5.612058993233678,103.0
XGBoost,11300.0,10857.525174538161,-442.4748254618389,-3.915706420016274,113.0
Random Forest,10600.0,10781.3297095287,181.32970952869982,1.7106576370632058,106.0
