,total_bet,total_return,profit,roi,num_bets
ELO,12600.0,13205.002213028207,605.0022130282068,4.801604865303228,126.0
Rank Centrality,10700.0,9284.947499221269,-1415.052500778731,-13.224789726904026,107.0
XGBoost,10600.0,12073.980844531958,1473.9808445319577,13.905479665395829,106.0
Random Forest,10100.0,10563.49753263121,463.49753263121056,4.589084481497134,101.0
